PERMNO,HTICK,HCOMNAM,HTSYMBOL,CUSIP,BEGDAT,ENDDAT
12603,,FOCUSSHARES TRUST,FUI,34416W77,2011-03-30,2012-08-17
12604,,FOCUSSHARES TRUST,FTQ,34416W78,2011-03-30,2012-08-17
12605,,FOCUSSHARES TRUST,FRL,34416W79,2011-03-30,2012-08-17
12606,,FOCUSSHARES TRUST,FOS,34416W80,2011-03-30,2012-08-17
12607,,FOCUSSHARES TRUST,FIL,34416W81,2011-03-30,2012-08-17
12608,,FOCUSSHARES TRUST,FHC,34416W82,2011-03-30,2012-08-17
12609,,FOCUSSHARES TRUST,FFL,34416W83,2011-03-30,2012-08-17
12610,,FOCUSSHARES TRUST,FEG,34416W84,2011-03-30,2012-08-17
12611,,FOCUSSHARES TRUST,FCD,34416W85,2011-03-30,2012-08-17
12612,,FOCUSSHARES TRUST,FCL,34416W86,2011-03-30,2012-08-17
12613,,FOCUSSHARES TRUST,FCQ,34416W87,2011-03-30,2012-08-17
12614,,FOCUSSHARES TRUST,FBM,34416W88,2011-03-30,2012-08-17
12615,FF,FUTUREFUEL CORP,FF,36116M10,2011-03-23,2024-12-31
12616,,GLOBAL X FUNDS,XOIL,37950E59,2011-03-15,2012-02-16
12617,,GLOBAL X FUNDS,GGGG,37950E23,2011-03-15,2014-10-16
12618,,INTERTYPE CORP,,46199190,1925-12-31,1957-06-27
12619,,AMERICAN CARRIERS INC,ACIXQ,02504310,1983-06-21,1989-06-21
12620,,GLOBAL X FUNDS,JUNR,37950E26,2011-03-17,2015-10-08
12621,ARGT,GLOBAL X FUNDS,ARGT,37950E25,2011-03-03,2024-12-31
12622,HCA,H C A HEALTHCARE INC,HCA,40412C10,2011-03-10,2024-12-31
12623,HII,HUNTINGTON INGALLS INDS INC,HII,44641310,2011-03-31,2024-12-31
12624,,INDEXIQ E T F TRUST,CROP,45409B83,2011-03-22,2020-08-05
12625,HDV,ISHARES TRUST,HDV,46429B66,2011-03-31,2024-12-31
12626,,JEWEL COMPANIES INC,,47719610,1925-12-31,1984-11-16
12627,,AMERICAN VANTAGE COS,AVCS,03037B10,1980-10-24,2005-08-22
12628,MCHI,ISHARES TRUST,MCHI,46429B67,2011-03-31,2024-12-31
12629,MX,MAGNACHIP SEMICONDUCTOR CORP,MX,55933J20,2011-03-11,2024-12-31
12630,,MARKET VECTORS E T F TRUST,COLX,57060U41,2011-03-15,2014-12-12
12631,BKLN,INVESCO E T F TRUST II,BKLN,46138G50,2011-03-03,2024-12-31
12632,,PROSHARES TRUST,IGS,74347R12,2011-03-29,2016-08-25
12633,SJB,PROSHARES TRUST,SJB,74347R13,2011-03-22,2024-12-31
12634,,JORDAN MTR CAR INC,,48099090,1925-12-31,1931-05-13
12635,,AMERICAN CELLULAR NETWORK CORP,AMLL,02506010,1983-10-03,1988-04-08
12636,,QIHOO 360 TECHNOLOGY CO LTD,QIHU,74734M10,2011-03-30,2016-07-15
12637,,EMERALD OIL INC,EOX,29101U40,2011-03-01,2016-03-22
12638,,WISDOMTREE TRUST,ALD,97717X84,2011-03-17,2019-03-14
12639,,CORNERSTONE ONDEMAND INC,CSOD,21925Y10,2011-03-17,2021-10-14
12640,,SERVICESOURCE INTERNATIONAL INC,SREV,81763U10,2011-03-25,2022-07-20
12641,AL,AIR LEASE CORP,AL,00912X30,2011-04-19,2024-12-31
12642,,KANSAS & GULF CO,,48499090,1925-12-31,1927-01-26
12643,,AMERICAN CELLULAR TELEPHONE CORP,ACTCA,02506410,1984-03-13,1986-07-01
12644,UAN,C V R PARTNERS LP,UAN,12663320,2011-04-08,2024-12-31
12645,,ELLIE MAE INC,ELLI,28849P10,2011-04-15,2019-04-16
12646,FPA,FIRST TR EXCH TRD ALPHADEX FD II,FPA,33737J10,2011-04-19,2024-12-31
12647,FEP,FIRST TR EXCH TRD ALPHADEX FD II,FEP,33737J11,2011-04-19,2024-12-31
12648,FLN,FIRST TR EXCH TRD ALPHADEX FD II,FLN,33737J12,2011-04-19,2024-12-31
12649,FBZ,FIRST TR EXCH TRD ALPHADEX FD II,FBZ,33737J13,2011-04-19,2024-12-31
12650,,KANSAS CITY SOUTHERN,KSU,48517030,1925-12-31,2021-12-13
12651,FCA,FIRST TR EXCH TRD ALPHADEX FD II,FCA,33737J14,2011-04-19,2024-12-31
12652,FJP,FIRST TR EXCH TRD ALPHADEX FD II,FJP,33737J15,2011-04-19,2024-12-31
12653,,FIRST TR EXCH TRD ALPHADEX FD II,FKO,33737J16,2011-04-19,2020-10-30
12654,FDT,FIRST TR EXCH TRD ALPHADEX FD II,FDT,33737J17,2011-04-19,2024-12-31
12655,FEM,FIRST TR EXCH TRD ALPHADEX FD II,FEM,33737J18,2011-04-19,2024-12-31
12656,FNY,FIRST TR EXCH TRD ALPHADEX FD,FNY,33737M10,2011-04-20,2024-12-31
12657,FNK,FIRST TR EXCH TRD ALPHADEX FD,FNK,33737M20,2011-04-20,2024-12-31
12658,FYC,FIRST TR EXCH TRD ALPHADEX FD,FYC,33737M30,2011-04-20,2024-12-31
12659,FYT,FIRST TR EXCH TRD ALPHADEX FD,FYT,33737M40,2011-04-20,2024-12-31
12660,,G N C HOLDINGS INC,GNC,36191G10,2011-04-01,2020-06-29
12661,,GLOBAL X FUNDS,WSTE,37950E57,2011-04-13,2012-02-16
12662,IHD,VOYA EMERG MKTS HI INC DIV EQ FD,IHD,92912P10,2011-04-27,2024-12-31
12663,,LONCOR RESOURCES INC,LON,54179W10,2011-04-27,2014-04-24
12664,,MARKET VECTORS E T F TRUST,GERJ,57060U38,2011-04-05,2014-12-12
12665,,VANECK E T F TRUST,RSXJ,92189F73,2011-04-14,2022-03-04
12666,FLTR,VANECK E T F TRUST,FLTR,92189F48,2011-04-26,2024-12-31
12667,,AEVI GENOMIC MEDICINE INC,GNMX,00835P10,2011-04-08,2020-02-03
12668,,PREFERRED APARTMENT CMNTYS INC,APTS,74039L10,2011-04-01,2022-06-23
12669,,KAYSER ROTH CORP,,48663810,1925-12-31,1975-10-21
12670,,AMERICAN CITY BK LOS ANGELES,AMCB,02514110,1978-07-18,1983-06-01
12671,,PROSHARES TRUST,TBZ,74347X34,2011-04-05,2017-09-06
12672,TBX,PROSHARES TRUST,TBX,74348A60,2011-04-05,2024-12-31
12673,UJB,PROSHARES TRUST,UJB,74348A70,2011-04-14,2024-12-31
12674,,PROSHARES TRUST,IGU,74348A80,2011-04-14,2016-08-25
12675,SPBO,SPDR SERIES TRUST,SPBO,78464A14,2011-04-07,2024-12-31
12676,HYMB,SPDR SERIES TRUST,HYMB,78464A28,2011-04-14,2024-12-31
12677,,KEITH ALBEE ORPHEUM CORP,,48799090,1925-12-31,1932-04-23
12678,,AMERICAN CLIPPER CORP,,02514710,1977-05-12,1982-08-27
12679,,SANDRIDGE MISSISSIPPIAN TRUST I,SDT,80007T10,2011-04-07,2019-11-18
12680,SQNS,SEQUANS COMMUNICATIONS S A,SQNS,81732330,2011-04-15,2024-12-31
12681,STAG,STAG INDUSTRIAL INC,STAG,85254J10,2011-04-15,2024-12-31
12682,,T M S INTERNATIONAL CORP,TMS,87261Q10,2011-04-14,2013-10-16
12683,,ANDEAVOR LOGISTICS LP,ANDX,03350F10,2011-04-20,2019-07-29
12684,ARCO,ARCOS DORADOS HOLDINGS INC,ARCO,G0457F10,2011-04-14,2024-12-31
12685,,KELLY SPRINGFIELD TIRE CO,,48899090,1925-12-31,1935-08-20
12686,,AMERICAN COMMONWEALTH FINL CORP,ACFC,02520010,1972-12-14,1982-11-15
12687,,BOX SHIPS INC,TEU,Y0967510,2011-04-14,2015-11-17
12688,,FRANKLIN FINANCIAL CORP VA,FRNK,35353C10,2011-04-28,2015-01-02
12689,,GOLAR L N G PARTNERS L P,GMLP,Y2745C10,2011-04-08,2021-04-15
12690,SSSS,SURO CAPITAL CORP,SSSS,86887Q10,2011-04-28,2024-12-31
12691,,RESPONSYS INC,MKTG,76124810,2011-04-21,2014-02-06
12692,,MISSION NEWENERGY LTD,MNEL,Q6216311,2011-04-20,2012-05-03
12693,PFLT,PENNANTPARK FLOATING RT CAP LTD,PFLT,70806A10,2011-04-08,2024-12-31
12694,,AMERICAN COMMUNICATIONS & TELE,ASTVC,02520110,1982-06-21,1989-08-24
12695,,SAGENT PHARMACEUTICALS INC,SGNT,78669210,2011-04-20,2016-08-29
12696,,STATE BANK FINANCIAL CORP,STBZ,85619010,2011-04-14,2018-12-31
12697,,FIRSTHAND TECHNOLOGY VAL FD INC,SVVC,33766Y10,2011-04-18,2023-10-25
12698,,OCERA THERAPEUTICS INC,OCRX,67552A10,2011-04-04,2017-12-08
12699,VNET,VNET GROUP INC,VNET,90138A10,2011-04-21,2024-12-31
12700,,ZIPCAR INC,ZIP,98974X10,2011-04-14,2013-03-14
12706,,KENNECOTT CORP,,48931410,1925-12-31,1981-06-03
12707,,AMERICAN COMMUNITY SERVICES INC,ACSIQ,02520310,1983-04-05,1986-05-28
12714,,KEYSTONE TIRE & RUBR CO,,49399090,1925-12-31,1927-11-09
12715,,AMERICAN CONTINENTAL CORP,AMCCQ,02524220,1972-12-14,1989-05-24
12717,XTN,SPDR SERIES TRUST,XTN,78464A53,2011-01-27,2024-12-31
12718,,BROOKFIELD RESIDENTIAL PPTYS INC,BRP,11283W10,2011-04-01,2015-03-13
12719,,ACTIVE NETWORK INC,ACTV,00506D10,2011-05-25,2013-11-15
12720,,CHINA ZENIX AUTO INTL LTD,ZX,16951E10,2011-05-12,2018-06-13
12722,,KINNEY G R & CO INC,,49799090,1925-12-31,1956-05-01
12723,,AMERICAN CYTOGENETICS INC,ACYTC,02532810,1972-12-14,1992-07-10
12725,,DIREXION SHARES E T F TRUST,COWS,25459W26,2011-05-25,2012-09-05
12726,,DIREXION SHARES E T F TRUST,COWL,25459W27,2011-05-25,2012-09-05
12727,,DIREXION SHARES E T F TRUST,RUSS,25460E82,2011-05-25,2020-03-27
12728,,DIREXION SHARES E T F TRUST,RUSL,25490K27,2011-05-25,2022-03-03
12729,,FIRST TR EXCH TRD ALPHADEX FD,FMK,33737M50,2011-05-12,2020-12-11
12730,,KRAFT INC,,50075510,1925-12-31,1980-09-25
12731,,AMERICAN DAVEY CORP,ADAX,02534610,1983-06-15,1984-03-01
12732,,GLOBAL X FUNDS,SOIL,37950E49,2011-05-26,2020-08-21
12733,,GLOBAL X FUNDS,MEXS,37950E51,2011-05-05,2012-02-16
12734,,GLOBAL X FUNDS,VROM,37950E53,2011-05-19,2012-10-18
12735,,GLOBAL X FUNDS,EATX,37950E56,2011-05-03,2012-02-16
12736,,GLOBAL X FUNDS,FISN,37950E58,2011-05-04,2012-02-16
12737,,INDEXIQ E T F TRUST,HKK,45409B81,2011-05-18,2011-12-23
12738,,INDEXIQ E T F TRUST,IOIL,45409B84,2011-05-05,2018-03-16
12739,,ISHARES TRUST,ITIP,46429B77,2011-05-20,2016-08-23
12740,,ISHARES TRUST,GTIP,46429B81,2011-05-20,2016-08-23
12741,HEQ,JOHN HANCOCK HEDGED EQ & INC FD,HEQ,47804L10,2011-05-26,2024-12-31
12742,,LINKEDIN CORP,LNKD,53578A10,2011-05-19,2016-12-07
12743,,LONE PINE RESOURCES INC,LPR,54222A10,2011-05-26,2013-09-13
12744,,VANECK E T F TRUST,EMAG,92189F47,2011-05-12,2021-10-15
12745,NGL,N G L ENERGY PARTNERS LP,NGL,62913M10,2011-05-12,2024-12-31
12746,,LINK MOTION INC,LKM,53577L10,2011-05-05,2018-12-20
12747,NMFC,NEW MOUNTAIN FINANCE CORP,NMFC,64755110,2011-05-20,2024-12-31
12748,,NUVEEN SHORT DUR CR OPPTYS FD,JSD,67074X10,2011-05-26,2023-07-28
12749,,K MART CORP,KM,48258410,1925-12-31,2002-12-18
12750,,AMERICAN DIAGNOSTICS CORP,ADGN,02536410,1981-05-07,1984-07-16
12751,FENG,PHOENIX NEW MEDIA LTD,FENG,71910C20,2011-05-12,2024-12-31
12752,,POWERSHARES E T F TRUST II,CVRT,73936Q75,2011-05-26,2013-02-26
12753,SPLV,INVESCO E T F TRUST II,SPLV,46138E35,2011-05-05,2024-12-31
12754,SPHB,INVESCO E T F TRUST II,SPHB,46138E37,2011-05-05,2024-12-31
12755,,QUEST RARE MINERALS LTD,QRM,74836T10,2011-05-23,2015-02-19
12756,RLJ,R L J LODGING TRUST,RLJ,74965L10,2011-05-11,2024-12-31
12757,,KRESS S H & CO,,50081810,1925-12-31,1964-09-25
12758,,U S ECOLOGY INC NEW,ECOL,91734M10,1984-05-09,2022-04-29
12759,,MOATABLE INC,MTBL,75989230,2011-05-04,2024-04-03
12760,,REVETT MINING CO INC,RVM,76150520,2011-05-09,2015-06-15
12761,,RUSSELL E T F TRUST,SHMO,78247453,2011-05-27,2012-10-16
12762,,RUSSELL E T F TRUST,SHVY,78247454,2011-05-27,2012-10-16
12763,,RUSSELL E T F TRUST,SLVY,78247455,2011-05-27,2012-10-16
12764,,RUSSELL E T F TRUST,SHBT,78247456,2011-05-27,2012-10-16
12765,,KRESGE DEPT STORES INC,,50099390,1925-12-31,1946-08-01
12766,,AMERICAN ELECTROMEDICS CORP,AECO,02556910,1981-06-18,1992-07-09
12767,,RUSSELL E T F TRUST,SLBT,78247457,2011-05-27,2012-10-16
12768,,RUSSELL E T F TRUST,HMTM,78247462,2011-05-27,2012-10-16
12769,,RUSSELL E T F TRUST,HVOL,78247463,2011-05-27,2012-10-16
12770,,RUSSELL E T F TRUST,LVOL,78247464,2011-05-27,2012-10-16
12771,,RUSSELL E T F TRUST,HBTA,78247465,2011-05-27,2012-10-16
12772,,RUSSELL E T F TRUST,LBTA,78247466,2011-05-27,2012-10-16
12773,,KUPPENHEIMER & CO INC,,50199390,1925-12-31,1931-07-02
12774,,AMERICAN EMERGICENTER INC,EMRG,02561710,1984-01-24,1985-01-23
12775,,RUSSELL E T F TRUST,LWPE,78247469,2011-05-19,2012-10-04
12776,,RUSSELL E T F TRUST,EQIN,78247471,2011-05-19,2012-10-16
12777,,RUSSELL E T F TRUST,CNTR,78247472,2011-05-19,2012-10-16
12778,,RUSSELL E T F TRUST,GRPC,78247473,2011-05-19,2012-10-16
12779,,RUSSELL E T F TRUST,CONG,78247474,2011-05-19,2012-10-16
12780,,RUSSELL E T F TRUST,AGRG,78247475,2011-05-19,2012-10-16
12781,SR,SPIRE INC,SR,84857L10,1925-12-31,2024-12-31
12782,,SALIENT M L P & ENERGY INFRA FD,SMF,79471T10,2011-05-26,2014-11-14
12783,THR,THERMON GROUP HOLDINGS INC,THR,88362T10,2011-05-05,2024-12-31
12784,,T 3 MOTION INC,TTTM,89853X30,2011-05-16,2013-07-17
12785,,UNIVERSAL AMERICAN CORP NEW,UAM,91338E10,2011-05-02,2017-04-28
12786,VOC,V O C ENERGY TRUST,VOC,91829B10,2011-05-05,2024-12-31
12787,,FREESCALE SEMICONDUCTOR LTD,FSL,G3727Q10,2011-05-26,2015-12-07
12788,KOS,KOSMOS ENERGY LTD DE,KOS,50068810,2011-05-11,2024-12-31
12789,,AMPIO PHARMACEUTICALS INC,AMPE,03209T30,2011-05-19,2024-04-12
12791,,JIAYUAN COM INTERNATIONAL LTD,DATE,47737410,2011-05-11,2016-05-13
12792,,GLOBAL EAGLE ENTERTAINMENT INC,ENT,37951D30,2011-05-27,2020-08-03
12793,,FRIENDFINDER NETWORKS INC,FFN,35845330,2011-05-11,2013-08-07
12794,,PRIME ACQUISITION CORP,PACQ,G7243610,2011-05-25,2013-10-10
12795,,R P X CORP,RPXC,74972G10,2011-05-04,2018-06-18
12796,,SPIRIT AIRLINES INC,SAVE,84857710,2011-05-26,2024-11-15
12797,,TERRAVIA HOLDINGS INC,TVIA,88105A10,2011-05-27,2017-08-10
12798,,BOINGO WIRELESS INC,WIFI,09739C10,2011-05-04,2021-06-01
12799,NBIS,NEBIUS GROUP N V,NBIS,N9728410,2011-05-24,2024-12-31
12802,,LEE NATIONAL CORP,,52389410,1925-12-31,1978-08-03
12803,,AMERICAN EQUITY INVT TR,AEQTS,02567710,1974-05-24,1984-09-13
12810,,LEHIGH VALLEY RR CO,,52504890,1925-12-31,1963-05-10
12811,,AMERICAN EXPLORATION CO,,02576280,1983-11-15,1997-10-14
12826,CARZ,FIRST TRUST E T F II,CARZ,33734X30,2011-05-10,2024-12-31
12827,,GLOBAL X FUNDS,CNPF,37950E48,2011-05-25,2014-10-16
12828,MITT,A G MORTGAGE INVESTMENT TR INC,MITT,00122850,2011-06-30,2024-12-31
12829,,LEHN & FINK PRODS CORP,,52599090,1925-12-31,1966-06-28
12830,,AMERICAN FAMILY LIFE ASSURN CO,,02587910,1972-12-14,1973-08-17
12831,,ADVISORSHARES TRUST,MATH,00768Y82,2011-06-23,2018-03-29
12832,,ADVISORSHARES TRUST,MENV,00768Y83,2011-06-21,2022-08-31
12833,,ADVISORSHARES TRUST,FWDI,00768Y84,2011-06-21,2019-03-22
12834,,ADVISORSHARES TRUST,FWDD,00768Y85,2011-06-21,2019-03-22
12835,,BANKRATE INC DE,RATE,06647F10,2011-06-17,2017-11-08
12836,,CLAYMORE E T F TRUST 2,ABCS,18383Q78,2011-06-08,2013-03-15
12837,,LIGGETT GROUP INC,,53220210,1925-12-31,1980-08-07
12838,,AMERICAN FAMILY PIZZA INC,AFPZ,02588210,1984-03-06,1986-05-28
12839,EMO,CLEARBRIDGE ENERGY MID OP FD INC,EMO,18469P20,2011-06-10,2024-12-31
12840,LODE,COMSTOCK INC,LODE,20575030,2011-06-10,2024-12-31
12841,DBEM,D B X ETF TRUST,DBEM,23305110,2011-06-09,2024-12-31
12842,DBEF,D B X ETF TRUST,DBEF,23305120,2011-06-09,2024-12-31
12843,,D B X ETF TRUST,DBBR,23305130,2011-06-09,2018-05-31
12844,,D B X ETF TRUST,DBGR,23305140,2011-06-09,2024-03-13
12845,,LIGGETT & MYERS TOB CO,,53221990,1925-12-31,1947-03-13
12846,,AMFED FINANCIAL CORP,AFSL,03114310,1980-12-10,1989-05-09
12847,DBJP,D B X ETF TRUST,DBJP,23305150,2011-06-09,2024-12-31
12848,,DIREXION SHARES E T F TRUST,MATL,25459Y50,2011-06-15,2015-10-20
12849,,DIREXION SHARES E T F TRUST,MATS,25459Y60,2011-06-15,2012-09-05
12850,,DIREXION SHARES E T F TRUST,TOTS,25459Y81,2011-06-15,2016-07-15
12851,,DIREXION SHARES E T F TRUST,SICK,25459Y86,2011-06-15,2012-09-05
12852,CURE,DIREXION SHARES E T F TRUST,CURE,25459Y87,2011-06-15,2024-12-31
12853,,LIFE SAVERS INC,,53299190,1926-01-28,1929-01-19
12854,,AMERICAN FIBER OPTICS CORP,FIBR,02590010,1981-04-01,1988-05-13
12855,,E G A EMERGING GLOBAL SHARES TR,LGEM,26846120,2011-06-23,2013-10-04
12856,,E G A EMERGING GLOBAL SHARES TR,GGEM,26846130,2011-06-23,2013-10-04
12857,,E G A EMERGING GLOBAL SHARES TR,VGEM,26846140,2011-06-23,2013-10-04
12858,,E G A EMERGING GLOBAL SHARES TR,HGEM,26846160,2011-06-23,2013-10-04
12859,,E G A EMERGING GLOBAL SHARES TR,IGEM,26846170,2011-06-23,2013-10-04
12860,,E G A EMERGING GLOBAL SHARES TR,QGEM,26846180,2011-06-23,2013-10-04
12861,,LIMA HAMILTON CORP,,53299490,1925-12-31,1950-12-04
12862,,AMERICAN EDUCATIONAL TV NETWORK,,02590310,1981-09-17,1982-10-15
12863,,E G A EMERGING GLOBAL SHARES TR,UGEM,26846187,2011-06-23,2013-10-04
12864,,E G A EMERGING GLOBAL SHARES TR,TGEM,26846188,2011-06-23,2013-10-04
12865,,FUSION I O INC,FIO,36112J10,2011-06-09,2014-07-22
12866,,GLOBAL X FUNDS,BARN,37950E52,2011-06-02,2012-02-16
12867,SDIV,GLOBAL X FUNDS,SDIV,37960A66,2011-06-09,2024-12-31
12868,,NEW YORK LIFE INVESTMENTS ETF TR,ROOF,45409B62,2011-06-14,2024-11-20
12869,,INDEXIQ E T F TRUST,RSUN,45409B65,2011-06-02,2011-12-23
12870,FLOT,ISHARES TRUST,FLOT,46429B65,2011-06-17,2024-12-31
12871,,C S I COMPRESSCO L P,CCLP,12637A10,2011-06-15,2024-04-01
12872,MPC,MARATHON PETROLEUM CORP,MPC,56585A10,2011-07-01,2024-12-31
12873,,PANDORA MEDIA INC,P,69835410,2011-06-15,2019-01-31
12874,HYS,PIMCO E T F TRUST,HYS,72201R78,2011-06-17,2024-12-31
12875,SPGP,INVESCO E T F TRUST,SPGP,46137V43,2011-06-16,2024-12-31
12876,SPVM,INVESCO E T F TRUST,SPVM,46137V42,2011-06-16,2024-12-31
12877,VATE,INNOVATE CORP,VATE,45784J30,2011-06-23,2024-12-31
12878,,TAOMEE HOLDINGS LTD,TAOM,87600Y10,2011-06-09,2016-06-22
12879,,VANGUARD HEALTH SYSTEMS INC,VHS,92203620,2011-06-22,2013-09-30
12880,AMCX,A M C NETWORKS INC,AMCX,00164V10,2011-07-01,2024-12-31
12881,,A P I TECHNOLOGIES CORP,ATNY,00187E20,2011-06-27,2016-04-22
12882,,HOMEAWAY INC,AWAY,43739Q10,2011-06-29,2015-12-14
12883,,CRUMBS BAKE SHOP INC,CRMB,22880310,2011-06-30,2014-06-30
12884,,FIRST CONNECTICUT BANCORP INC MD,FBNK,31985010,2011-06-30,2018-10-01
12885,FDUS,FIDUS INVESTMENT CORP,FDUS,31650010,2011-06-21,2024-12-31
12886,GRFS,GRIFOLS S A,GRFS,39843840,2011-06-02,2024-12-31
12887,,KIOR INC,KIOR,49721710,2011-06-24,2014-09-22
12888,,LONE STAR INDUSTRIES INC,,54229010,1925-12-31,1994-04-14
12889,,AMERICAN GENETICS INTL INC,AMGI,02590810,1983-08-29,1985-08-27
12890,THTX,THERATECHNOLOGIES INC,THTX,88338H70,2011-06-15,2024-12-31
12891,,QUARTERHILL INC,QTRH,74771310,2011-06-01,2019-12-20
12892,,AMERICAN MIDSTREAM PARTNERS L P,AMID,02752P10,2011-07-27,2019-07-22
12893,,APOLLO RESIDENTIAL MORTGAGE INC,AMTG,03763V10,2011-07-22,2016-08-31
12894,,C & J ENERGY SERVICES LTD,CJES,G3164Q10,2011-07-29,2016-07-20
12895,DPG,DUFF & PHELPS UTIL AND INF FD I,DPG,26433C10,2011-07-27,2024-12-31
12896,,LORILLARD CORP,,54414610,1925-12-31,1968-11-29
12897,,AMERICAN FUEL TECHNOLOGIES INC,AFTI,02590910,1982-12-06,1986-03-05
12898,,INDEXIQ E T F TRUST,EMER,45409B64,2011-07-13,2012-12-18
12899,XMPT,VANECK E T F TRUST,XMPT,92189F46,2011-07-13,2024-12-31
12900,,OILTANKING PARTNERS L P,OILT,67804910,2011-07-14,2015-02-13
12901,,PRECIDIAN ETFS TRUST,NKY,74016W10,2011-07-13,2016-03-11
12902,HDG,PROSHARES TRUST,HDG,74347X29,2011-07-14,2024-12-31
12903,,SARATOGA RESOURCES INC,SARA,80352110,2011-07-20,2015-06-18
12904,SCHZ,SCHWAB STRATEGIC TRUST,SCHZ,80852483,2011-07-14,2024-12-31
12905,SXC,SUNCOKE ENERGY INC,SXC,86722A10,2011-07-21,2024-12-31
12906,,S R C ENERGY INC,SRCI,78470V10,2011-07-27,2020-01-14
12907,,TEAVANA HOLDINGS INC,TEA,87819P10,2011-07-28,2012-12-31
12908,,WESCO AIRCRAFT HOLDINGS INC,WAIR,95081410,2011-07-28,2020-01-08
12909,,LOUISVILLE & NASHVILLE RR CO,,54660810,1925-12-31,1971-06-18
12910,,AMERICAN EDUCATIONAL COMPUTER IN,AEDC,02591010,1983-10-06,1989-03-10
12911,,WISDOMTREE TRUST,RRF,97717X88,2011-07-14,2017-08-16
12912,BLRX,BIOLINERX LTD,BLRX,09071M20,2011-07-25,2024-12-31
12913,CHEF,CHEFS WAREHOUSE INC,CHEF,16308610,2011-07-28,2024-12-31
12914,,DUNKIN BRANDS GROUP INC,DNKN,26550410,2011-07-27,2020-12-14
12915,,FRANCESCAS HOLDINGS CORP,FRAN,35179320,2011-07-22,2020-12-14
12916,,HAWAIIAN TELCOM HOLDCO INC,HCOM,42003110,2011-07-06,2018-06-29
12917,,LOUISIANA OIL REFNG CORP,,54699090,1925-12-31,1935-12-19
12918,,AMERICAN FILTRONA CORP,AFIL,02604210,1972-12-14,1997-09-23
12919,,HORIZON THERAPEUTICS PLC,HZNP,G4618810,2011-07-28,2023-10-05
12920,IROQ,I F BANCORP INC,IROQ,44951J10,2011-07-08,2024-12-31
12921,,STATE INVESTORS BANCORP INC,SIBC,85703010,2011-07-07,2015-11-30
12922,,SKULLCANDY INC,SKUL,83083J10,2011-07-20,2016-10-03
12923,SKYY,FIRST TRUST E T F II,SKYY,33734X19,2011-07-06,2024-12-31
12924,,TANGOE INC,TNGO,87582Y10,2011-07-27,2017-03-13
12925,,LUDLUM STEEL CO,,54999190,1925-12-31,1938-08-18
12926,,AMERICAN FINANCIAL CORP OH,,02608710,1972-12-14,1981-04-06
12927,ZG,ZILLOW GROUP INC,ZG,98954M10,2011-07-20,2024-12-31
12928,AREN,ARENA GROUP HOLDINGS INC,AREN,04004410,1996-11-21,2024-12-31
12933,,M E I DIVERSIFIED INC,,55271210,1925-12-31,1993-02-22
12934,,AMERICAN FINANCIAL LEASING & SVC,,02609410,1972-12-14,1974-12-27
12941,,MACK TRUCKS INC,,55451190,1925-12-31,1967-08-31
12942,,AMERICAN FIRST CORP OKLA,AFCO,02616110,1980-01-09,1990-08-20
12946,,BROOKFIELD GLBL LIST INFR INC FD,INF,11273Q10,2011-08-26,2020-03-06
12947,,COLUMBIA E T F TRUST II,HILO,19762B30,2011-08-04,2019-06-14
12948,INCO,COLUMBIA E T F TRUST II,INCO,19762B70,2011-08-10,2024-12-31
12949,EEMS,ISHARES INC,EEMS,46428647,2011-08-18,2024-12-31
12950,,ISHARES TRUST,TZY,46429B63,2011-08-18,2014-10-14
12951,,ISHARES TRUST,TZW,46429B64,2011-08-18,2014-10-14
12952,,LAKE SHORE GOLD CORP,LSG,51072810,2011-08-01,2016-04-01
12953,MORT,VANECK E T F TRUST,MORT,92189F45,2011-08-17,2024-12-31
12954,,PRIMERO MINING CORP,PPP,74164W10,2011-08-15,2017-08-14
12955,,RYDEX E T F TRUST,EWSM,78355W49,2011-08-04,2013-03-15
12956,,RYDEX E T F TRUST,EWMD,78355W51,2011-08-04,2013-03-15
12957,,SANDRIDGE PERMIAN TRUST,PER,80007A10,2011-08-11,2020-09-08
12959,,AMBIENT CORP,AMBT,02318N20,2011-08-03,2014-07-18
12960,,CARBONITE INC,CARB,14133710,2011-08-11,2019-12-23
12961,,PINGTAN MARINE ENTERPRISE LTD,PME,G7114V10,2011-08-02,2023-02-28
12962,,C S R PLC,CSRE,12640Y20,2011-09-12,2015-08-12
12963,,FORBES ENERGY SERVICES LTD,FES,34514310,2011-08-16,2016-11-18
12964,,BLUE WOLF MONGOLIA HOLDINGS CORP,MNGL,G1196210,2011-08-03,2013-07-22
12965,,M T G E INVESTMENT CORP,MTGE,55378A10,2011-08-04,2018-09-06
12966,,NAUTILUS MARINE ACQUISITION CORP,NMAR,Y6255E10,2011-08-29,2013-03-28
12967,,PALMETTO BANCSHARES INC,PLMT,69706220,2011-08-18,2015-08-31
12968,,MACKAY COS,,55499090,1925-12-31,1928-05-15
12969,,AMERICAN FLETCHER CORP,AFLT,02616810,1972-12-14,1987-01-23
12970,,TUDOU HOLDINGS LTD,TUDO,89903T10,2011-08-17,2012-08-23
12971,,JETPAY CORP,JTPY,47717710,2011-08-10,2018-12-06
12972,,T I M PARTICIPACOES S A,TSU,88706P20,2011-08-09,2020-10-12
12973,,CLAYMORE E T F TRUST 2,RMB,18383Q74,2011-09-22,2013-06-14
